Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.29     0.00        6     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_Rb_tree_impl<std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true>::_Rb_tree_impl()
  0.00      0.29     0.00        6     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_Rb_tree()
  0.00      0.29     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<loam::PointLabel>::~new_allocator()
  0.00      0.29     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned long, unsigned long> >::deallocate(std::pair<unsigned long, unsigned long>*, unsigned long)
  0.00      0.29     0.00        5     0.00     0.00  std::allocator<loam::PointLabel>::~allocator()
  0.00      0.29     0.00        5     0.00     0.00  std::_Vector_base<loam::PointLabel, std::allocator<loam::PointLabel> >::_Vector_impl::~_Vector_impl()
  0.00      0.29     0.00        5     0.00     0.00  std::_Vector_base<loam::PointLabel, std::allocator<loam::PointLabel> >::_M_deallocate(loam::PointLabel*, unsigned long)
  0.00      0.29     0.00        5     0.00     0.00  std::_Vector_base<loam::PointLabel, std::allocator<loam::PointLabel> >::_M_get_Tp_allocator()
  0.00      0.29     0.00        5     0.00     0.00  std::_Vector_base<loam::PointLabel, std::allocator<loam::PointLabel> >::~_Vector_base()
  0.00      0.29     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<std::pair<unsigned long, unsigned long> > >::deallocate(std::allocator<std::pair<unsigned long, unsigned long> >&, std::pair<unsigned long, unsigned long>*, unsigned long)
  0.00      0.29     0.00        5     0.00     0.00  void std::_Destroy<loam::PointLabel*, loam::PointLabel>(loam::PointLabel*, loam::PointLabel*, std::allocator<loam::PointLabel>&)
  0.00      0.29     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<loam::PointLabel>::deallocate(loam::PointLabel*, unsigned long)
  0.00      0.29     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::~new_allocator()
